Mod:Item:MetaData, Localized Name
projectred-illumination:lamp:8, Light Grey Lamp
projectred-illumination:lamp:9, Cyan Lamp
projectred-illumination:lamp:10, Purple Lamp
projectred-illumination:lamp:11, Blue Lamp
projectred-illumination:lamp:12, Brown Lamp
projectred-illumination:lamp:13, Green Lamp
projectred-illumination:lamp:14, Red Lamp
projectred-illumination:lamp:15, Black Lamp
projectred-illumination:lamp:16, Inverted White Lamp
projectred-illumination:lamp:17, Inverted Orange Lamp
projectred-illumination:lamp:18, Inverted Magenta Lamp
projectred-illumination:lamp:19, Inverted Light Blue Lamp
projectred-illumination:lamp:20, Inverted Yellow Lamp
projectred-illumination:lamp:21, Inverted Lime Lamp
projectred-illumination:lamp:22, Inverted Pink Lamp
projectred-illumination:lamp:23, Inverted Grey Lamp
projectred-illumination:lamp:24, Inverted Light Grey Lamp
projectred-illumination:lamp:25, Inverted Cyan Lamp
projectred-illumination:lamp:26, Inverted Purple Lamp
projectred-illumination:lamp:27, Inverted Blue Lamp
projectred-illumination:lamp:28, Inverted Brown Lamp
projectred-illumination:lamp:29, Inverted Green Lamp
projectred-illumination:lamp:30, Inverted Red Lamp
projectred-illumination:lamp:31, Inverted Black Lamp
projectred-illumination:light_button:0, White Illumar Button
projectred-illumination:light_button:1, Orange Illumar Button
projectred-illumination:light_button:2, Magenta Illumar Button
projectred-illumination:light_button:3, Light Blue Illumar Button
projectred-illumination:light_button:4, Yellow Illumar Button
projectred-illumination:light_button:5, Lime Illumar Button
projectred-illumination:light_button:6, Pink Illumar Button
projectred-illumination:light_button:7, Grey Illumar Button
projectred-illumination:light_button:8, Light Grey Illumar Button
projectred-illumination:light_button:9, Cyan Illumar Button
projectred-illumination:light_button:10, Purple Illumar Button
projectred-illumination:light_button:11, Blue Illumar Button
projectred-illumination:light_button:12, Brown Illumar Button
projectred-illumination:light_button:13, Green Illumar Button
projectred-illumination:light_button:14, Red Illumar Button
projectred-illumination:light_button:15, Black Illumar Button
projectred-illumination:feedback_light_button:0, White Illumar Feedback Button
projectred-illumination:feedback_light_button:1, Orange Illumar Feedback Button
projectred-illumination:feedback_light_button:2, Magenta Illumar Feedback Button
projectred-illumination:feedback_light_button:3, Light Blue Illumar Feedback Button
projectred-illumination:feedback_light_button:4, Yellow Illumar Feedback Button
projectred-illumination:feedback_light_button:5, Lime Illumar Feedback Button
projectred-illumination:feedback_light_button:6, Pink Illumar Feedback Button
projectred-illumination:feedback_light_button:7, Grey Illumar Feedback Button
projectred-illumination:feedback_light_button:8, Light Grey Illumar Feedback Button
projectred-illumination:feedback_light_button:9, Cyan Illumar Feedback Button
projectred-illumination:feedback_light_button:10, Purple Illumar Feedback Button
projectred-illumination:feedback_light_button:11, Blue Illumar Feedback Button
projectred-illumination:feedback_light_button:12, Brown Illumar Feedback Button
projectred-illumination:feedback_light_button:13, Green Illumar Feedback Button
projectred-illumination:feedback_light_button:14, Red Illumar Feedback Button
projectred-illumination:feedback_light_button:15, Black Illumar Feedback Button
projectred-illumination:lantern:0, White Lantern
projectred-illumination:lantern:1, Orange Lantern
projectred-illumination:lantern:2, Magenta Lantern
projectred-illumination:lantern:3, Light Blue Lantern
projectred-illumination:lantern:4, Yellow Lantern
projectred-illumination:lantern:5, Lime Lantern
projectred-illumination:lantern:6, Pink Lantern
projectred-illumination:lantern:7, Grey Lantern
projectred-illumination:lantern:8, Light Grey Lantern
projectred-illumination:lantern:9, Cyan Lantern
projectred-illumination:lantern:10, Purple Lantern
projectred-illumination:lantern:11, Blue Lantern
projectred-illumination:lantern:12, Brown Lantern
projectred-illumination:lantern:13, Green Lantern
projectred-illumination:lantern:14, Red Lantern
projectred-illumination:lantern:15, Black Lantern
projectred-illumination:inverted_lantern:0, Inverted White Lantern
projectred-illumination:inverted_lantern:1, Inverted Orange Lantern
projectred-illumination:inverted_lantern:2, Inverted Magenta Lantern
projectred-illumination:inverted_lantern:3, Inverted Light Blue Lantern
projectred-illumination:inverted_lantern:4, Inverted Yellow Lantern
projectred-illumination:inverted_lantern:5, Inverted Lime Lantern
projectred-illumination:inverted_lantern:6, Inverted Pink Lantern
projectred-illumination:inverted_lantern:7, Inverted Grey Lantern
projectred-illumination:inverted_lantern:8, Inverted Light Grey Lantern
projectred-illumination:inverted_lantern:9, Inverted Cyan Lantern
projectred-illumination:inverted_lantern:10, Inverted Purple Lantern
projectred-illumination:inverted_lantern:11, Inverted Blue Lantern
projectred-illumination:inverted_lantern:12, Inverted Brown Lantern
projectred-illumination:inverted_lantern:13, Inverted Green Lantern
projectred-illumination:inverted_lantern:14, Inverted Red Lantern
projectred-illumination:inverted_lantern:15, Inverted Black Lantern
projectred-illumination:fixture_light:0, White Fixture
projectred-illumination:fixture_light:1, Orange Fixture
projectred-illumination:fixture_light:2, Magenta Fixture
projectred-illumination:fixture_light:3, Light Blue Fixture
projectred-illumination:fixture_light:4, Yellow Fixture
projectred-illumination:fixture_light:5, Lime Fixture
projectred-illumination:fixture_light:6, Pink Fixture
projectred-illumination:fixture_light:7, Grey Fixture
projectred-illumination:fixture_light:8, Light Grey Fixture
projectred-illumination:fixture_light:9, Cyan Fixture
projectred-illumination:fixture_light:10, Purple Fixture
projectred-illumination:fixture_light:11, Blue Fixture
projectred-illumination:fixture_light:12, Brown Fixture
projectred-illumination:fixture_light:13, Green Fixture
projectred-illumination:fixture_light:14, Red Fixture
projectred-illumination:fixture_light:15, Black Fixture
projectred-illumination:inverted_fixture_light:0, Inverted White Fixture
projectred-illumination:inverted_fixture_light:1, Inverted Orange Fixture
projectred-illumination:inverted_fixture_light:2, Inverted Magenta Fixture
projectred-illumination:inverted_fixture_light:3, Inverted Light Blue Fixture
projectred-illumination:inverted_fixture_light:4, Inverted Yellow Fixture
projectred-illumination:inverted_fixture_light:5, Inverted Lime Fixture
projectred-illumination:inverted_fixture_light:6, Inverted Pink Fixture
projectred-illumination:inverted_fixture_light:7, Inverted Grey Fixture
projectred-illumination:inverted_fixture_light:8, Inverted Light Grey Fixture
projectred-illumination:inverted_fixture_light:9, Inverted Cyan Fixture
projectred-illumination:inverted_fixture_light:10, Inverted Purple Fixture
projectred-illumination:inverted_fixture_light:11, Inverted Blue Fixture
projectred-illumination:inverted_fixture_light:12, Inverted Brown Fixture
projectred-illumination:inverted_fixture_light:13, Inverted Green Fixture
projectred-illumination:inverted_fixture_light:14, Inverted Red Fixture
projectred-illumination:inverted_fixture_light:15, Inverted Black Fixture
projectred-illumination:fallout_lamp:0, White Fallout Light
projectred-illumination:fallout_lamp:1, Orange Fallout Light
projectred-illumination:fallout_lamp:2, Magenta Fallout Light
projectred-illumination:fallout_lamp:3, Light Blue Fallout Light
projectred-illumination:fallout_lamp:4, Yellow Fallout Light
projectred-illumination:fallout_lamp:5, Lime Fallout Light
projectred-illumination:fallout_lamp:6, Pink Fallout Light
projectred-illumination:fallout_lamp:7, Grey Fallout Light
projectred-illumination:fallout_lamp:8, Light Grey Fallout Light
projectred-illumination:fallout_lamp:9, Cyan Fallout Light
projectred-illumination:fallout_lamp:10, Purple Fallout Light
projectred-illumination:fallout_lamp:11, Blue Fallout Light
projectred-illumination:fallout_lamp:12, Brown Fallout Light
projectred-illumination:fallout_lamp:13, Green Fallout Light
projectred-illumination:fallout_lamp:14, Red Fallout Light
projectred-illumination:fallout_lamp:15, Black Fallout Light
projectred-illumination:inverted_fallout_lamp:0, Inverted White Fallout Light
projectred-illumination:inverted_fallout_lamp:1, Inverted Orange Fallout Light
projectred-illumination:inverted_fallout_lamp:2, Inverted Magenta Fallout Light
projectred-illumination:inverted_fallout_lamp:3, Inverted Light Blue Fallout Light
projectred-illumination:inverted_fallout_lamp:4, Inverted Yellow Fallout Light
projectred-illumination:inverted_fallout_lamp:5, Inverted Lime Fallout Light
projectred-illumination:inverted_fallout_lamp:6, Inverted Pink Fallout Light
projectred-illumination:inverted_fallout_lamp:7, Inverted Grey Fallout Light
projectred-illumination:inverted_fallout_lamp:8, Inverted Light Grey Fallout Light
projectred-illumination:inverted_fallout_lamp:9, Inverted Cyan Fallout Light
projectred-illumination:inverted_fallout_lamp:10, Inverted Purple Fallout Light
projectred-illumination:inverted_fallout_lamp:11, Inverted Blue Fallout Light
projectred-illumination:inverted_fallout_lamp:12, Inverted Brown Fallout Light
projectred-illumination:inverted_fallout_lamp:13, Inverted Green Fallout Light
projectred-illumination:inverted_fallout_lamp:14, Inverted Red Fallout Light
projectred-illumination:inverted_fallout_lamp:15, Inverted Black Fallout Light
projectred-illumination:cage_lamp:0, White Cage Lamp
projectred-illumination:cage_lamp:1, Orange Cage Lamp
projectred-illumination:cage_lamp:2, Magenta Cage Lamp
projectred-illumination:cage_lamp:3, Light Blue Cage Lamp
projectred-illumination:cage_lamp:4, Yellow Cage Lamp
projectred-illumination:cage_lamp:5, Lime Cage Lamp
projectred-illumination:cage_lamp:6, Pink Cage Lamp
projectred-illumination:cage_lamp:7, Grey Cage Lamp
projectred-illumination:cage_lamp:8, Light Grey Cage Lamp
projectred-illumination:cage_lamp:9, Cyan Cage Lamp
projectred-illumination:cage_lamp:10, Purple Cage Lamp
projectred-illumination:cage_lamp:11, Blue Cage Lamp
projectred-illumination:cage_lamp:12, Brown Cage Lamp
projectred-illumination:cage_lamp:13, Green Cage Lamp
projectred-illumination:cage_lamp:14, Red Cage Lamp
projectred-illumination:cage_lamp:15, Black Cage Lamp
projectred-illumination:inverted_cage_lamp:0, Inverted White Cage Lamp
projectred-illumination:inverted_cage_lamp:1, Inverted Orange Cage Lamp
projectred-illumination:inverted_cage_lamp:2, Inverted Magenta Cage Lamp
projectred-illumination:inverted_cage_lamp:3, Inverted Light Blue Cage Lamp
projectred-illumination:inverted_cage_lamp:4, Inverted Yellow Cage Lamp
projectred-illumination:inverted_cage_lamp:5, Inverted Lime Cage Lamp
projectred-illumination:inverted_cage_lamp:6, Inverted Pink Cage Lamp
projectred-illumination:inverted_cage_lamp:7, Inverted Grey Cage Lamp
projectred-illumination:inverted_cage_lamp:8, Inverted Light Grey Cage Lamp
projectred-illumination:inverted_cage_lamp:9, Inverted Cyan Cage Lamp
projectred-illumination:inverted_cage_lamp:10, Inverted Purple Cage Lamp
projectred-illumination:inverted_cage_lamp:11, Inverted Blue Cage Lamp
projectred-illumination:inverted_cage_lamp:12, Inverted Brown Cage Lamp
projectred-illumination:inverted_cage_lamp:13, Inverted Green Cage Lamp
projectred-illumination:inverted_cage_lamp:14, Inverted Red Cage Lamp
projectred-illumination:inverted_cage_lamp:15, Inverted Black Cage Lamp
projectred-expansion:solar_panel, Solar Panel
projectred-expansion:empty_battery, Battery
projectred-expansion:charged_battery, Battery
projectred-expansion:jetpack, Jetpack
projectred-expansion:electric_screwdriver, Electric Screwdriver
projectred-expansion:infused_ender_pearl, Infused Ender Pearl
projectred-expansion:plan, Recipe Plan
projectred-expansion:machine1:0, Inductive Furnace
projectred-expansion:machine1:1, Electrotine Generator
projectred-expansion:machine2:0, Block Breaker
projectred-expansion:machine2:1, Item Importer
projectred-expansion:machine2:2, Block Placer
projectred-expansion:machine2:3, Filtered Importer
projectred-expansion:machine2:4, Fire Starter
projectred-expansion:machine2:5, Battery Box
projectred-expansion:machine2:6, Charging Bench
projectred-expansion:machine2:7, Teleposer
projectred-expansion:machine2:8, Frame Motor
projectred-expansion:machine2:9, Frame Linear Actuator
projectred-expansion:machine2:10, Project Bench
projectred-expansion:machine2:11, Auto Crafting Bench
projectred-expansion:machine2:12, Diamond Block Breaker
projectred-relocation:frame, Frame
projectred-transportation:pipe:0, Item Transport pipe
projectred-transportation:pipe:1, Routed Junction pipe
projectred-transportation:pipe:2, Routed Interface pipe
projectred-transportation:pipe:3, Routed Request pipe
projectred-transportation:pipe:4, Routed Firewall pipe
projectred-transportation:pipe:32, Network Valve pipe
projectred-transportation:pipe:33, Network Latency pipe
projectred-transportation:pipe:64, Pressure tube
projectred-transportation:pipe:65, Pressure Resistance tube
projectred-transportation:routing_chip:0, Item Responder chip
projectred-transportation:routing_chip:1, Dynamic Item Responder chip
projectred-transportation:routing_chip:2, Item Overflow Responder chip
projectred-transportation:routing_chip:3, Item Terminator chip
projectred-transportation:routing_chip:4, Item Extractor chip
projectred-transportation:routing_chip:5, Item Broadcaster chip
projectred-transportation:routing_chip:6, Item Stock Keeper chip
projectred-transportation:routing_chip:7, Item Crafting chip
projectred-transportation:routing_chip:8, Item Crafting Extension chip
projectred-transportation:router_utility, Router Utility
railcraft:creosote, Creosote
railcraft:steam, Steam
railcraft:tool_crowbar_iron, Iron Crowbar
railcraft:tool_crowbar_steel, Steel Crowbar
railcraft:tool_axe_steel, Steel Axe
railcraft:tool_hoe_steel, Steel Hoe
railcraft:tool_pickaxe_steel, Steel Pickaxe
railcraft:tool_shears_steel, Steel Shears
railcraft:tool_shovel_steel, Steel Shovel
railcraft:tool_sword_steel, Steel Sword
railcraft:armor_helmet_steel, Steel Helmet
railcraft:armor_chestplate_steel, Steel Chestplate
railcraft:armor_leggings_steel, Steel Leggings
railcraft:armor_boots_steel, Steel Boots
railcraft:tool_magnifying_glass, Magnifying Glass
railcraft:armor_goggles, Trackman's Goggles
railcraft:armor_overalls, Engineer's Overalls
railcraft:tool_notepad, Trackman's Notepad
railcraft:rail:0, Standard Rail
railcraft:rail:1, Advanced Rail
railcraft:rail:2, Wooden Rail
railcraft:rail:3, H.S. Rail
railcraft:rail:4, Reinforced Rail
railcraft:rail:5, Electric Rail
railcraft:tie:0, Wooden Tie
railcraft:tie:1, Stone Tie
railcraft:rebar, Rebar
railcraft:cart_spawner:0, Spawner Cart
railcraft:detector:0, Cart Detector - Item
railcraft:detector:1, Cart Detector - Any
railcraft:detector:2, Cart Detector - Empty
railcraft:detector:3, Cart Detector - Mob
railcraft:detector:4, Cart Detector - Player
railcraft:detector:5, Cart Detector - Animal
railcraft:detector:6, Cart Detector - Tank
railcraft:detector:7, Cart Detector - Advanced
railcraft:detector:8, Cart Detector - Age
railcraft:detector:9, Cart Detector - Train
railcraft:detector:10, Cart Detector - Sheep
railcraft:detector:11, Cart Detector - Villager
railcraft:detector:12, Cart Detector - Locomotive
railcraft:detector:13, Cart Detector - Routing
railcraft:manipulator:0, Item Loader
railcraft:manipulator:1, Item Unloader
railcraft:manipulator:2, Adv. Item Loader
railcraft:manipulator:3, Adv. Item Unloader
railcraft:manipulator:4, Fluid Loader
railcraft:manipulator:5, Fluid Unloader
railcraft:manipulator:6, Ic2 EU Loader
railcraft:manipulator:7, Ic2 EU Unloader
railcraft:manipulator:10, Redstone Flux Loader
railcraft:manipulator:11, Redstone Flux Unloader
railcraft:manipulator:8, Cart Dispenser
railcraft:manipulator:9, Train Dispenser
railcraft:equipment:0, Manual Rolling Machine
railcraft:equipment:1, Powered Rolling Machine
railcraft:equipment:2, Feed Station
railcraft:equipment:3, Smoker
railcraft:trade_station:0, Trade Station
railcraft:force_track_emitter, Force Track Emitter
railcraft:track_force, Force Track
railcraft:filter_blank, Blank Filter
railcraft:filter_type, Item Type Filter
railcraft:filter_ore_dict, Ore Dictionary Filter
railcraft:bore:0, Tunnel Bore
railcraft:borehead_bronze, Bronze Bore Head
railcraft:borehead_iron, Iron Bore Head
railcraft:borehead_steel, Steel Bore Head
railcraft:borehead_diamond, Diamond Bore Head
railcraft:mow_track_layer:0, Track Layer Cart
railcraft:mow_track_relayer:0, Track Relayer Cart
railcraft:mow_track_remover:0, Track Remover Cart
railcraft:mow_undercutter:0, Undercutter Cart
railcraft:cart_trade_station:0, Trade Station Cart
railcraft:cart_work:0, Work Cart
railcraft:cart_jukebox:0, Jukebox Cart
railcraft:cart_bed:0, Bed Cart
railcraft:battery_nickel_iron, Nickel-Iron Battery
railcraft:battery_nickel_zinc, Nickel-Zinc Battery
railcraft:battery_zinc_carbon, Zinc-Carbon Battery
railcraft:battery_zinc_silver, Zinc-Silver Battery
railcraft:charge_feeder:0, IC2 Charge Feeder Unit
railcraft:charge_feeder:1, Admin Charge Feeder Unit
railcraft:charge_trap, Charge Trap
railcraft:frame, Wire Support Frame
railcraft:steam_turbine:0, Steam Turbine Housing
railcraft:wire, Charge Shunting Wire
railcraft:charge:0, Charge Coil
railcraft:charge:1, Charge Terminal
railcraft:charge:2, Small Charge Wire Spool
railcraft:charge:3, Medium Charge Wire Spool
railcraft:charge:4, Large Charge Wire Spool
railcraft:charge:5, Charge Motor
railcraft:charge:6, Nickel Electrode
railcraft:charge:7, Iron Electrode
railcraft:charge:8, Zinc Electrode
railcraft:charge:9, item.railcraft.charge.electrode.carbon.name
railcraft:charge:10, item.railcraft.charge.electrode.silver.name
railcraft:tool_charge_meter, Charge Meter
railcraft:turbine_blade, Turbine Blade
railcraft:turbine_disk, Turbine Disk
railcraft:turbine_rotor, Turbine Rotor
railcraft:worldspike:0, Admin Worldspike
railcraft:worldspike:1, Passive Worldspike
railcraft:worldspike:2, Personal Worldspike
railcraft:worldspike:3, Standard Worldspike
railcraft:worldspike_point, Worldspike Point
railcraft:cart_worldspike_standard:0, Standard Worldspike Cart
railcraft:cart_worldspike_admin:0, Admin Worldspike Cart
railcraft:cart_worldspike_personal:0, Personal Worldspike Cart
railcraft:emblem, Emblem
railcraft:anvil:0, Steel Anvil
railcraft:anvil:1, Slightly Damaged Steel Anvil
railcraft:anvil:2, Very Damaged Steel Anvil
railcraft:fuel_coke, Coal Coke
railcraft:coke_oven:0, Coke Oven Brick
railcraft:coke_oven_red:0, tile.railcraft.coke.oven.red.name
railcraft:blast_furnace:0, Blast Furnace Brick
railcraft:rock_crusher:0, Rock Crusher
railcraft:steam_oven:0, Steam Oven
railcraft:tank_iron_gauge:0, Iron Tank Gauge
railcraft:tank_iron_gauge:1, Iron Tank Gauge
railcraft:tank_iron_gauge:2, Iron Tank Gauge
railcraft:tank_iron_gauge:3, Iron Tank Gauge
railcraft:tank_iron_gauge:4, Iron Tank Gauge
railcraft:tank_iron_gauge:5, Iron Tank Gauge
railcraft:tank_iron_gauge:6, Iron Tank Gauge
railcraft:tank_iron_gauge:7, Iron Tank Gauge
railcraft:tank_iron_gauge:8, Iron Tank Gauge
railcraft:tank_iron_gauge:9, Iron Tank Gauge
railcraft:tank_iron_gauge:10, Iron Tank Gauge
railcraft:tank_iron_gauge:11, Iron Tank Gauge
railcraft:tank_iron_gauge:12, Iron Tank Gauge
railcraft:tank_iron_gauge:13, Iron Tank Gauge
railcraft:tank_iron_gauge:14, Iron Tank Gauge
railcraft:tank_iron_gauge:15, Iron Tank Gauge
railcraft:tank_iron_valve:0, Iron Tank Valve
railcraft:tank_iron_valve:1, Iron Tank Valve
railcraft:tank_iron_valve:2, Iron Tank Valve
railcraft:tank_iron_valve:3, Iron Tank Valve
railcraft:tank_iron_valve:4, Iron Tank Valve
railcraft:tank_iron_valve:5, Iron Tank Valve
railcraft:tank_iron_valve:6, Iron Tank Valve
railcraft:tank_iron_valve:7, Iron Tank Valve
railcraft:tank_iron_valve:8, Iron Tank Valve
railcraft:tank_iron_valve:9, Iron Tank Valve
railcraft:tank_iron_valve:10, Iron Tank Valve
railcraft:tank_iron_valve:11, Iron Tank Valve
railcraft:tank_iron_valve:12, Iron Tank Valve
railcraft:tank_iron_valve:13, Iron Tank Valve
railcraft:tank_iron_valve:14, Iron Tank Valve
railcraft:tank_iron_valve:15, Iron Tank Valve
railcraft:tank_iron_wall:0, Iron Tank Wall
railcraft:tank_iron_wall:1, Iron Tank Wall
railcraft:tank_iron_wall:2, Iron Tank Wall
railcraft:tank_iron_wall:3, Iron Tank Wall
railcraft:tank_iron_wall:4, Iron Tank Wall
railcraft:tank_iron_wall:5, Iron Tank Wall
railcraft:tank_iron_wall:6, Iron Tank Wall
railcraft:tank_iron_wall:7, Iron Tank Wall
railcraft:tank_iron_wall:8, Iron Tank Wall
railcraft:tank_iron_wall:9, Iron Tank Wall
railcraft:tank_iron_wall:10, Iron Tank Wall
railcraft:tank_iron_wall:11, Iron Tank Wall
railcraft:tank_iron_wall:12, Iron Tank Wall
railcraft:tank_iron_wall:13, Iron Tank Wall
railcraft:tank_iron_wall:14, Iron Tank Wall
railcraft:tank_iron_wall:15, Iron Tank Wall
railcraft:tank_steel_gauge:0, Steel Tank Gauge
railcraft:tank_steel_gauge:1, Steel Tank Gauge
railcraft:tank_steel_gauge:2, Steel Tank Gauge
railcraft:tank_steel_gauge:3, Steel Tank Gauge
railcraft:tank_steel_gauge:4, Steel Tank Gauge
railcraft:tank_steel_gauge:5, Steel Tank Gauge
railcraft:tank_steel_gauge:6, Steel Tank Gauge
railcraft:tank_steel_gauge:7, Steel Tank Gauge
railcraft:tank_steel_gauge:8, Steel Tank Gauge
railcraft:tank_steel_gauge:9, Steel Tank Gauge
railcraft:tank_steel_gauge:10, Steel Tank Gauge
railcraft:tank_steel_gauge:11, Steel Tank Gauge
railcraft:tank_steel_gauge:12, Steel Tank Gauge
railcraft:tank_steel_gauge:13, Steel Tank Gauge
railcraft:tank_steel_gauge:14, Steel Tank Gauge
railcraft:tank_steel_gauge:15, Steel Tank Gauge
railcraft:tank_steel_valve:0, Steel Tank Valve
railcraft:tank_steel_valve:1, Steel Tank Valve
railcraft:tank_steel_valve:2, Steel Tank Valve
railcraft:tank_steel_valve:3, Steel Tank Valve
railcraft:tank_steel_valve:4, Steel Tank Valve
railcraft:tank_steel_valve:5, Steel Tank Valve
railcraft:tank_steel_valve:6, Steel Tank Valve
railcraft:tank_steel_valve:7, Steel Tank Valve
railcraft:tank_steel_valve:8, Steel Tank Valve
railcraft:tank_steel_valve:9, Steel Tank Valve
railcraft:tank_steel_valve:10, Steel Tank Valve
railcraft:tank_steel_valve:11, Steel Tank Valve
railcraft:tank_steel_valve:12, Steel Tank Valve
railcraft:tank_steel_valve:13, Steel Tank Valve
railcraft:tank_steel_valve:14, Steel Tank Valve
railcraft:tank_steel_valve:15, Steel Tank Valve
railcraft:tank_steel_wall:0, Steel Tank Wall
railcraft:tank_steel_wall:1, Steel Tank Wall
railcraft:tank_steel_wall:2, Steel Tank Wall
railcraft:tank_steel_wall:3, Steel Tank Wall
railcraft:tank_steel_wall:4, Steel Tank Wall
railcraft:tank_steel_wall:5, Steel Tank Wall
railcraft:tank_steel_wall:6, Steel Tank Wall
railcraft:tank_steel_wall:7, Steel Tank Wall
railcraft:tank_steel_wall:8, Steel Tank Wall
railcraft:tank_steel_wall:9, Steel Tank Wall
railcraft:tank_steel_wall:10, Steel Tank Wall
railcraft:tank_steel_wall:11, Steel Tank Wall
railcraft:tank_steel_wall:12, Steel Tank Wall
railcraft:tank_steel_wall:13, Steel Tank Wall
railcraft:tank_steel_wall:14, Steel Tank Wall
railcraft:tank_steel_wall:15, Steel Tank Wall
railcraft:tank_water:0, Water Tank Siding
railcraft:chest_metals:0, Metals Chest
railcraft:cart_chest_metals:0, Metals Chest Cart
railcraft:filter_bee, Bee Filter
railcraft:filter_bee_genome, Bee Genome Filter
railcraft:backpack_apothecary_t1, Apothecary's Backpack
railcraft:backpack_apothecary_t2, Woven Apothecary's Backpack
railcraft:backpack_iceman_t1, Iceman's Backpack
railcraft:backpack_iceman_t2, Woven Iceman's Backpack
railcraft:backpack_trackman_t1, Trackman's Backpack
railcraft:backpack_trackman_t2, Woven Trackman's Backpack
railcraft:backpack_signalman_t1, item.railcraft.backpack.signalman.t1.name
railcraft:backpack_signalman_t2, item.railcraft.backpack.signalman.t2.name
railcraft:cart_ic2_batbox:0, Batbox Cart
railcraft:cart_ic2_mfe:0, MFE Cart
railcraft:cart_ic2_cesu:0, CESU Cart
railcraft:firestone_cracked, Cracked Firestone
railcraft:firestone_cut, Cut Firestone
railcraft:firestone_raw, Raw Firestone
railcraft:firestone_refined, Refined Firestone
railcraft:cart_redstone_flux:0, Redstone Flux Cart
railcraft:flux_transformer:0, Flux Transformer
railcraft:metal:0, Block of Copper
railcraft:metal:1, Block of Tin
railcraft:metal:2, Block of Lead
railcraft:metal:4, Block of Silver
railcraft:metal:3, Block of Steel
railcraft:metal:5, Block of Bronze
railcraft:metal:6, Block of Nickel
railcraft:metal:7, Block of Invar
railcraft:metal:8, Block of Zinc
railcraft:metal:9, Block of Brass
railcraft:fluid_bottle_creosote, Creosote Bottle
railcraft:fluid_bottle_steam, Steam Bottle
railcraft:nugget:0, Steel Nugget
railcraft:nugget:1, Copper Nugget
railcraft:nugget:2, Tin Nugget
railcraft:nugget:3, Lead Nugget
railcraft:nugget:4, Silver Nugget
railcraft:nugget:5, Bronze Nugget
railcraft:nugget:6, Nickel Nugget
railcraft:nugget:7, Invar Nugget
railcraft:nugget:8, Zinc Nugget
railcraft:nugget:9, Brass Nugget
railcraft:ingot:0, Steel Ingot
railcraft:ingot:1, Copper Ingot
railcraft:ingot:2, Tin Ingot
railcraft:ingot:3, Lead Ingot
railcraft:ingot:4, Silver Ingot
railcraft:ingot:5, Bronze Ingot
railcraft:ingot:6, Nickel Ingot
railcraft:ingot:7, Invar Ingot
railcraft:ingot:8, Zinc Ingot
railcraft:ingot:9, Brass Ingot
railcraft:gear:0, Brass Gear
railcraft:gear:1, Iron Gear
railcraft:gear:2, Steel Gear
railcraft:gear:3, Gear Bushing
railcraft:gear:4, Bronze Gear
railcraft:gear:5, Invar Gear
railcraft:plate:0, Iron Plate
railcraft:plate:1, Steel Plate
railcraft:plate:2, Tin Plate
railcraft:plate:3, Copper Plate
railcraft:plate:4, Lead Plate
railcraft:plate:5, Silver Plate
railcraft:plate:6, Bronze Plate
railcraft:plate:7, Gold Plate
railcraft:plate:8, Nickel Plate
railcraft:plate:9, Invar Plate
railcraft:plate:10, Zinc Plate
railcraft:plate:11, Brass Plate
railcraft:dust:0, Obsidian Dust
railcraft:dust:1, Sulfur
railcraft:dust:2, Saltpeter
railcraft:dust:3, Charcoal Dust
railcraft:dust:4, Ground Blast Furnace Slag
railcraft:dust:5, Coal Dust
railcraft:dust:6, Ender Powder
railcraft:dust:7, Void Powder
railcraft:tool_crowbar_seasons, Crowbar of Seasons
railcraft:cart_pumpkin:0, Pumpkin Cart
railcraft:cart_gift:0, Gift Cart
railcraft:signal:0, Block Signal
railcraft:signal:1, Distant Signal
railcraft:signal:2, Token Signal
railcraft:signal_dual:0, Dual-Head Block Signal
railcraft:signal_dual:1, Dual-Head Distant Signal
railcraft:signal_dual:2, Dual-Head Token Signal
railcraft:signal_box:2, Signal Controller Box
railcraft:signal_box:4, Signal Receiver Box
railcraft:signal_box:0, Analog Signal Controller Box
railcraft:signal_box:1, Signal Capacitor Box
railcraft:signal_box:3, Signal Interlock Box
railcraft:signal_box:6, Signal Sequencer Box
railcraft:signal_box:5, Signal Block Relay Box
railcraft:tool_signal_surveyor:0, Signal Surveyor
railcraft:tool_signal_tuner:0, Signal Tuner
railcraft:signal_lamp, Signal Lamp
railcraft:tool_signal_label, Signal Label
railcraft:circuit:0, Controller Circuit
railcraft:circuit:1, Receiver Circuit
railcraft:circuit:2, Signal Circuit
railcraft:circuit:3, Radio Circuit
railcraft:admin_steam_producer:0, Admin Steam Producer
railcraft:boiler_firebox_fluid:0, Fluid Fueled Boiler Firebox
railcraft:boiler_firebox_solid:0, Solid Fueled Boiler Firebox
railcraft:boiler_tank_pressure_high:0, High Pressure Boiler Tank
railcraft:boiler_tank_pressure_low:0, Low Pressure Boiler Tank
railcraft:brick_abyssal:0, Abyssal Brick
railcraft:brick_abyssal:1, Fitted Abyssal Stone
railcraft:brick_abyssal:2, Abyssal Block
railcraft:brick_abyssal:3, Ornate Abyssal Stone
railcraft:brick_abyssal:4, Etched Abyssal Stone
railcraft:brick_abyssal:5, Abyssal Cobblestone
railcraft:brick_bleachedbone:0, Bleached Bone Brick
railcraft:brick_bleachedbone:1, Fitted Bleached Bone Stone
railcraft:brick_bleachedbone:2, Bleached Bone Block
